machine_type,air_temperature,process_temperature,torque,rotational_speed,tool_wear,machine_failure
H,299.7,309.2,40.6,1456,182,0
L,299.7,309.1,50.1,1417,187,0
M,299.7,309.1,24.7,1851,189,0
L,299.7,309.1,27.8,1715,192,0
H,299.6,309.1,32.3,1630,194,0
L,299.7,309.2,38.8,1478,199,0
L,299.7,309.2,29.6,1781,201,0
L,299.8,309.2,36.1,1439,203,0
M,299.7,309.2,45.3,1412,205,0
L,299.7,309.1,41.1,1483,208,0
L,299.8,309.2,42.6,1400,210,0
L,299.8,309.3,65.1,1299,212,1
L,299.8,309.2,44.4,1479,214,0
L,299.8,309.2,47.5,1491,216,0
M,299.9,309.3,52.8,1389,0,0
M,299.9,309.4,54.8,1399,3,0
M,299.9,309.4,26.0,1889,6,0
L,300.0,309.5,21.9,1925,9,0
L,300.0,309.5,30.2,1675,11,0
M,300.0,309.6,38.1,1477,13,0
L,300.0,309.6,45.9,1364,16,0
L,299.9,309.5,39.4,1451,18,0
L,299.9,309.4,41.2,1467,20,0
L,299.9,309.4,22.5,1858,22,0
L,300.1,309.4,39.7,1559,24,0
L,300.1,309.4,47.7,1560,26,0
L,300.1,309.4,47.6,1453,28,0
L,300.1,309.4,41.7,1464,30,0
L,300.0,309.4,50.2,1308,32,0
L,300.1,309.5,50.9,1353,34,0
M,300.2,309.6,35.8,1556,36,0
L,300.2,309.5,17.8,2183,39,0
M,300.2,309.6,41.8,1491,41,0
M,300.2,309.6,35.1,1528,44,0
L,300.2,309.6,52.7,1430,47,0
L,300.2,309.5,32.6,1495,49,0
M,300.2,309.5,28.3,1630,51,0
M,300.3,309.6,38.4,1524,54,0
L,300.3,309.6,52.4,1326,57,0
H,300.3,309.5,44.0,1438,59,0
L,300.4,309.6,45.9,1356,64,0
H,300.4,309.6,43.3,1416,66,0
L,300.4,309.7,32.6,1584,71,0
L,300.3,309.6,31.8,1597,73,0
L,300.4,309.6,43.9,1553,75,0
M,300.3,309.5,49.4,1405,77,0
L,300.2,309.5,35.3,1539,80,0
M,300.3,309.6,53.7,1398,82,0
L,300.3,309.6,39.6,1568,85,0
L,300.3,309.6,44.6,1404,87,0
M,300.2,309.5,45.7,1500,89,0
M,300.2,309.5,28.8,1642,92,0
M,300.3,309.6,46.6,1509,95,0
L,300.2,309.5,50.2,1343,98,0
L,300.1,309.5,40.1,1450,100,0
L,300.0,309.4,43.5,1460,102,0
L,300.0,309.3,41.2,1364,104,0
M,299.9,309.3,41.9,1452,106,0
L,299.9,309.3,41.8,1471,109,0
L,299.9,309.2,34.6,1598,111,0
L,299.8,309.1,24.8,1772,113,0
L,299.9,309.2,25.6,1761,115,0
M,300.0,309.3,40.7,1413,117,0
L,300.0,309.3,22.6,1887,120,0
L,300.0,309.3,56.5,1395,122,0
M,300.1,309.4,31.6,1569,124,0
L,300.1,309.4,47.3,1434,127,0
L,300.2,309.5,41.1,1417,129,0
L,300.2,309.5,28.4,1729,131,0
L,300.2,309.5,51.1,1356,133,0
L,300.2,309.5,48.8,1436,135,0
M,300.3,309.6,42.5,1419,137,0
L,300.3,309.6,38.1,1593,140,0
M,300.3,309.5,62.2,1320,142,0
M,300.3,309.5,42.4,1448,145,0
L,300.3,309.4,33.5,1470,148,0
M,300.3,309.4,33.1,1612,150,0
L,300.4,309.4,51.6,1412,153,0
M,300.4,309.4,23.9,1875,155,0
L,300.3,309.3,36.0,1612,158,0
M,300.4,309.3,41.6,1411,160,0
M,300.3,309.2,47.9,1490,163,0
M,300.4,309.3,40.3,1467,166,0
L,300.3,309.2,26.4,1807,169,0
L,300.3,309.1,46.0,1368,171,0
L,300.3,309.2,32.0,1572,173,0
M,300.3,309.1,44.3,1458,175,0
L,300.3,309.1,30.3,1699,178,0
L,300.3,309.3,39.5,1478,180,0
M,300.4,309.4,42.1,1362,182,0
H,300.4,309.4,38.9,1487,185,0
L,300.3,309.4,29.4,1705,190,0
L,300.3,309.3,53.5,1345,192,0
L,300.3,309.2,40.2,1532,194,0
L,300.3,309.2,35.2,1650,196,0
L,300.3,309.2,54.4,1398,198,0
L,300.3,309.2,44.8,1412,200,0
L,300.4,309.3,39.6,1525,202,0
M,300.3,309.3,57.9,1391,204,0
L,300.4,309.3,28.2,1766,207,0
L,300.4,309.3,35.0,1671,209,0
L,300.5,309.3,48.8,1373,211,0
M,300.5,309.4,50.1,1347,213,0
M,300.5,309.3,39.1,1539,216,0
L,300.5,309.3,40.8,1470,219,0
L,300.5,309.3,37.0,1528,221,0
H,300.5,309.3,45.2,1471,223,0
M,300.4,309.2,37.2,1528,228,0
L,300.5,309.3,51.5,1417,231,1
L,300.6,309.4,43.4,1549,233,0
H,300.6,309.4,49.2,1463,235,0
L,300.7,309.5,43.6,1479,240,0
L,300.6,309.5,23.0,1867,242,0
L,300.6,309.4,44.1,1471,244,0
H,300.6,309.4,47.6,1380,246,1
H,300.7,309.7,32.7,1623,0,0
L,300.8,309.7,20.7,1997,5,0
H,300.7,309.6,48.5,1390,7,0
L,300.8,309.7,46.6,1418,12,0
L,300.8,309.7,35.8,1519,14,0
M,300.8,309.7,39.7,1519,16,0
M,300.7,309.6,37.2,1536,19,0
L,300.8,309.6,28.7,1680,22,0
H,300.6,309.4,37.9,1555,24,0
L,300.6,309.5,49.6,1471,29,0
M,300.5,309.4,23.8,1877,31,0
M,300.5,309.3,30.5,1578,34,0
M,300.5,309.4,32.1,1655,37,0
H,300.5,309.4,34.3,1502,40,0
M,300.6,309.4,63.2,1367,45,1
L,300.7,309.5,37.2,1541,48,0
M,300.6,309.6,37.0,1588,50,0
L,300.6,309.6,32.8,1684,53,0
L,300.6,309.5,40.0,1437,55,0
L,300.6,309.6,42.4,1409,57,0
M,300.5,309.5,49.9,1320,59,0
H,300.5,309.5,34.2,1635,62,0
M,300.5,309.5,27.6,1691,67,0
M,300.6,309.6,50.0,1365,70,0
M,300.7,309.7,38.2,1523,73,0
L,300.6,309.7,32.4,1593,76,0
L,300.6,309.6,30.7,1682,78,0
L,300.7,309.6,54.3,1329,80,0
M,300.7,309.6,35.2,1568,82,0
L,300.7,309.6,24.8,1733,85,0
M,300.7,309.6,48.1,1473,87,0
M,300.7,309.5,31.3,1633,90,0
M,300.6,309.5,40.2,1530,93,0
M,300.6,309.5,40.2,1550,96,0
L,300.6,309.4,40.6,1410,99,0
L,300.5,309.3,33.5,1574,101,0
L,300.6,309.4,40.3,1425,103,0
M,300.6,309.4,35.2,1541,105,0
M,300.7,309.5,26.7,1733,108,0
L,300.6,309.4,13.5,2496,111,0
L,300.6,309.4,36.4,1552,113,0
L,300.6,309.3,38.7,1409,115,0
M,300.6,309.4,35.7,1581,117,0
L,300.7,309.5,59.9,1251,120,0
L,300.7,309.6,44.1,1500,122,0
L,300.6,309.5,38.8,1576,124,0
M,300.7,309.5,44.0,1352,126,0
L,300.7,309.6,30.3,1661,129,0
L,300.7,309.6,34.6,1541,131,0
H,300.6,309.6,20.5,1888,133,0
L,300.5,309.5,62.1,1255,138,0
L,300.6,309.6,41.6,1411,140,0
L,300.6,309.5,39.0,1516,142,0
M,300.6,309.5,34.0,1492,144,0
L,300.6,309.6,30.0,1726,147,0
L,300.7,309.7,33.7,1598,149,0
L,300.8,309.8,31.1,1657,151,0
L,300.8,309.7,38.1,1481,153,0
M,300.7,309.7,51.3,1397,155,0
L,300.8,309.7,44.3,1461,158,0
M,300.7,309.6,51.1,1388,160,0
L,300.7,309.7,52.4,1507,163,0
M,300.7,309.6,49.8,1421,165,0
M,300.8,309.7,54.9,1258,168,0
M,300.8,309.7,39.0,1482,171,0
H,300.7,309.6,51.3,1403,174,0
L,300.8,309.7,45.4,1373,179,0
L,300.9,309.7,42.1,1460,181,0
M,300.8,309.7,27.9,1751,183,0
M,300.8,309.6,42.3,1546,186,0
M,300.8,309.7,28.2,1680,189,0
M,300.9,309.7,48.8,1394,192,0
L,300.7,309.6,26.0,1810,195,0
L,300.7,309.5,34.5,1479,197,0
L,300.9,309.7,41.4,1431,199,0
L,300.9,309.7,14.4,2355,201,0
M,300.7,309.6,19.8,1996,203,1
L,300.7,309.5,49.9,1461,0,0
H,300.7,309.5,19.7,2007,2,0
L,300.7,309.6,34.9,1505,7,0
H,300.7,309.6,20.5,1925,9,0
M,300.7,309.5,30.5,1622,14,0
L,300.7,309.5,29.0,1592,17,0
L,300.7,309.5,24.5,1850,19,0
M,300.7,309.5,48.7,1470,21,0
M,300.7,309.5,46.4,1445,24,0
L,300.7,309.5,31.1,1685,27,0
H,300.7,309.5,30.5,1667,29,0
L,300.7,309.5,35.4,1578,34,0
H,300.6,309.4,28.0,1691,36,0
M,300.7,309.5,43.8,1439,41,0
M,300.8,309.6,38.7,1404,44,0
L,300.8,309.6,45.8,1498,47,0
M,300.8,309.5,44.5,1481,49,0
M,300.7,309.4,35.0,1589,52,0
L,300.7,309.5,44.3,1467,55,0
L,300.6,309.4,32.8,1654,57,0
L,300.7,309.5,39.9,1508,59,0
M,300.7,309.6,43.0,1439,61,0
L,300.7,309.5,30.3,1692,64,0
M,300.7,309.5,24.9,1838,66,0
L,300.6,309.3,40.2,1601,69,0
L,300.6,309.4,51.6,1369,71,0
M,300.6,309.4,45.2,1312,73,0
L,300.6,309.4,44.1,1468,76,0
M,300.6,309.4,39.4,1452,78,0
M,300.7,309.5,43.9,1393,81,0
M,300.6,309.4,44.2,1432,84,0
M,300.6,309.3,46.0,1510,87,0
M,300.6,309.4,37.2,1521,90,0
H,300.5,309.4,46.2,1360,93,0
M,300.5,309.3,25.5,1881,98,0
L,300.4,309.3,50.3,1413,101,0
H,300.5,309.4,36.2,1642,103,0
L,300.5,309.5,38.5,1542,108,0
L,300.4,309.5,39.3,1447,110,0
H,300.4,309.4,40.4,1530,112,0
L,300.5,309.5,27.7,1795,117,0
L,300.6,309.6,57.4,1290,119,0
L,300.6,309.7,30.4,1639,121,0
L,300.7,309.8,31.5,1596,123,0
L,300.6,309.8,48.0,1455,125,0
M,300.6,309.8,28.9,1659,127,0
M,300.6,309.8,42.5,1532,130,0
L,300.6,309.8,42.4,1502,133,0
L,300.6,309.8,28.6,1688,135,0
M,300.5,309.7,50.9,1341,137,0
M,300.5,309.7,29.4,1685,140,0
M,300.5,309.8,55.9,1370,143,0
L,300.5,309.8,52.5,1461,146,0
L,300.5,309.8,37.4,1550,148,0
M,300.5,309.8,37.8,1508,150,0
L,300.5,309.8,62.7,1345,153,0
L,300.5,309.7,34.5,1616,155,0
L,300.5,309.7,61.0,1395,157,0
H,300.5,309.8,72.8,1324,159,1
L,300.5,309.8,43.9,1445,164,0
M,300.5,309.8,38.9,1555,166,0
M,300.6,309.9,42.4,1449,169,0
M,300.5,309.9,53.2,1466,172,0
L,300.5,309.9,37.4,1503,175,0
L,300.4,309.7,35.7,1488,177,0
L,300.4,309.7,50.2,1314,179,0
M,300.4,309.7,38.0,1547,181,0
M,300.4,309.7,39.8,1466,184,0
L,300.3,309.6,37.1,1537,187,0
M,300.2,309.5,51.5,1434,189,0
L,300.4,309.6,44.7,1432,192,0
L,300.5,309.6,48.4,1390,194,0
L,300.5,309.7,42.8,1580,196,0
L,300.5,309.7,30.5,1589,198,0
L,300.5,309.8,48.8,1441,200,0
L,300.5,309.8,51.7,1305,202,0
M,300.5,309.8,35.9,1566,204,0
L,300.5,309.8,54.2,1379,207,1
L,300.4,309.6,38.1,1543,209,0
L,300.5,309.8,49.6,1421,211,0
L,300.5,309.6,30.6,1760,213,0
L,300.4,309.5,29.2,1711,215,0
L,300.5,309.6,41.6,1465,217,0
L,300.5,309.6,50.2,1366,219,0
M,300.4,309.5,21.9,1888,221,0
L,300.5,309.5,23.6,1777,0,0
L,300.5,309.5,55.6,1379,2,0
L,300.4,309.5,51.3,1525,4,0
M,300.4,309.6,34.0,1563,6,0
M,300.5,309.7,43.3,1389,9,0
M,300.6,309.8,42.9,1447,12,0
M,300.6,309.7,22.8,1934,15,0
H,300.6,309.7,43.8,1470,18,0
M,300.6,309.7,42.6,1428,23,0
L,300.4,309.6,48.1,1319,26,0
L,300.5,309.7,24.3,1887,28,0
L,300.4,309.5,50.4,1349,30,0
M,300.3,309.5,31.4,1665,32,0
L,300.3,309.5,38.7,1474,35,0
L,300.4,309.5,38.9,1543,37,0
M,300.2,309.4,43.9,1459,39,0
L,300.3,309.5,37.9,1551,42,0
L,300.2,309.4,21.4,1981,44,0
L,300.2,309.4,35.3,1526,46,0
M,300.2,309.4,40.0,1501,48,0
L,300.2,309.4,38.3,1558,51,0
L,300.2,309.3,43.2,1532,53,0
L,300.1,309.2,55.9,1326,55,0
L,300.2,309.2,51.3,1431,57,0
L,300.2,309.3,49.3,1366,59,0
L,300.1,309.2,42.5,1421,61,0
H,300.2,309.3,35.6,1506,63,0
H,300.2,309.3,48.7,1342,68,0
L,300.1,309.2,37.6,1427,73,0
L,300.2,309.2,29.9,1667,75,0
L,300.1,309.1,46.7,1400,77,0
L,300.0,309.0,32.1,1709,79,0
M,300.0,309.0,45.8,1368,81,0
L,300.0,309.1,23.8,1882,84,0
L,300.1,309.1,58.7,1353,86,0
L,299.9,309.0,40.0,1553,88,0
L,300.0,309.1,45.4,1431,90,0
M,300.1,309.1,30.4,1731,92,0
M,300.1,309.2,27.7,1687,95,0
M,300.1,309.2,44.3,1457,98,0
L,300.1,309.2,37.0,1533,101,0
H,300.0,309.0,31.8,1622,103,0
L,300.0,309.1,28.2,1791,108,0
L,300.0,309.1,28.3,1631,110,0
L,300.0,309.0,16.9,2174,112,0
L,300.1,309.0,58.2,1314,114,0
L,300.1,309.1,46.9,1478,116,0
L,300.1,309.2,27.3,1783,118,0
M,300.1,309.2,46.1,1385,120,0
L,300.0,309.2,43.6,1444,123,0
L,300.1,309.3,23.0,1841,125,0
M,300.1,309.4,56.2,1349,127,0
L,300.1,309.3,56.0,1340,130,0
M,299.9,309.2,43.2,1539,132,0
M,300.0,309.3,21.8,1932,135,0
M,300.0,309.3,43.9,1407,138,0
L,300.1,309.3,28.5,1712,141,0
H,300.1,309.4,55.2,1329,143,0
L,300.1,309.2,42.9,1441,148,0
L,300.0,309.2,32.1,1610,150,0
M,300.0,309.1,45.2,1474,152,0
M,300.0,309.1,30.8,1624,155,0
H,300.1,309.3,38.2,1520,158,0
H,300.1,309.3,45.8,1448,163,0
L,300.0,309.3,29.7,1558,168,0
M,300.0,309.3,16.3,2293,170,0
L,300.0,309.3,51.2,1397,173,0
L,300.0,309.3,22.0,1972,175,0
M,299.9,309.2,36.5,1574,177,0
L,299.9,309.2,38.9,1560,180,0
M,299.9,309.2,49.8,1353,182,0
M,299.9,309.2,51.2,1389,185,0
M,299.9,309.1,43.8,1513,188,0
L,299.8,309.1,42.1,1578,191,0
H,299.8,309.0,37.3,1467,193,0
L,299.9,309.1,48.3,1412,198,0
L,299.8,309.1,30.3,1668,200,0
M,299.8,309.2,29.8,1678,202,0
L,299.8,309.1,35.4,1612,205,0
L,299.8,309.1,39.9,1485,207,0
M,299.8,309.1,39.4,1456,209,0
L,299.8,309.2,38.7,1504,212,0
L,299.9,309.2,44.3,1491,214,0
H,299.9,309.2,33.2,1525,0,0
L,300.0,309.2,27.9,1759,5,0
M,299.8,309.1,56.7,1355,7,0
M,299.9,309.1,56.8,1345,10,0
M,299.9,309.2,30.5,1683,13,0
L,299.9,309.2,34.8,1658,16,0
L,300.0,309.2,34.4,1566,18,0
M,300.1,309.3,43.9,1469,20,0
M,300.2,309.5,46.9,1458,23,0
L,300.1,309.4,23.6,1858,26,0
H,300.1,309.4,40.8,1563,28,0
L,300.1,309.4,17.9,2141,33,0
L,300.0,309.3,46.0,1473,35,0
H,300.0,309.4,38.5,1498,37,0
L,300.1,309.4,39.7,1568,42,0
L,300.1,309.4,27.4,1694,44,0
L,300.0,309.4,35.7,1499,46,0
L,300.0,309.5,28.3,1717,48,0
M,300.1,309.5,42.8,1462,50,0
L,300.1,309.6,34.5,1642,53,0
L,300.1,309.6,25.4,1760,55,0
L,300.1,309.5,32.7,1660,57,0
L,300.1,309.5,40.6,1557,59,0
H,300.2,309.6,49.2,1442,61,0
L,300.2,309.6,51.5,1359,66,0
L,300.4,309.8,52.5,1342,68,0
L,300.4,309.9,54.8,1435,70,0
L,300.4,309.9,36.5,1567,72,0
L,300.4,309.9,43.5,1376,74,0
H,300.4,309.9,38.7,1513,76,0
H,300.4,309.9,12.8,2563,81,1
L,300.5,310.0,45.1,1521,86,0
L,300.6,310.0,34.7,1658,88,0
H,300.6,310.0,42.4,1419,90,0
M,300.6,310.0,36.3,1478,95,0
M,300.5,310.0,43.5,1415,98,0
M,300.5,309.9,26.5,1780,101,0
M,300.4,309.7,42.8,1440,104,0
H,300.4,309.8,39.7,1448,107,0
H,300.4,309.7,35.2,1500,112,0
L,300.4,309.8,32.9,1513,117,0
L,300.5,309.8,43.8,1428,119,0
M,300.5,309.8,42.3,1473,121,0
M,300.5,309.9,49.3,1483,124,0
L,300.4,309.7,42.5,1534,127,0
L,300.5,309.8,54.0,1367,129,0
L,300.4,309.7,36.9,1467,131,0
M,300.4,309.7,42.2,1488,133,0
L,300.4,309.7,30.1,1679,136,0
H,300.4,309.8,47.5,1409,138,0
M,300.4,309.7,51.2,1367,143,0
L,300.4,309.8,63.1,1314,146,0
L,300.5,309.9,40.0,1480,148,0
L,300.4,309.8,38.9,1549,150,0
L,300.4,309.7,31.3,1685,152,0
L,300.4,309.6,34.5,1536,154,0
M,300.4,309.7,37.7,1539,156,0
L,300.4,309.7,45.1,1384,159,0
M,300.4,309.6,30.3,1614,161,0
M,300.4,309.6,35.5,1675,164,0
M,300.4,309.7,32.3,1685,167,0
L,300.4,309.6,56.9,1386,170,0
M,300.3,309.6,41.3,1488,172,0
L,300.3,309.6,32.6,1624,175,0
L,300.3,309.6,34.6,1600,177,0
L,300.3,309.6,44.7,1468,179,0
L,300.3,309.6,45.4,1435,181,0
M,300.2,309.5,33.4,1564,183,0
M,300.2,309.4,53.6,1329,186,0
L,300.1,309.3,36.8,1570,189,0
M,300.2,309.4,48.8,1433,191,0
L,300.2,309.4,37.0,1527,194,0
M,300.1,309.3,50.3,1443,196,0
L,300.1,309.3,32.0,1616,199,0
L,300.1,309.3,31.0,1654,201,0
L,300.1,309.3,27.1,1685,203,0
M,300.2,309.4,48.8,1456,205,0
M,300.2,309.4,27.8,1752,208,0
M,300.1,309.2,51.0,1438,211,0
L,300.1,309.1,33.7,1551,214,0
L,300.1,309.2,30.1,1599,216,0
M,300.1,309.2,33.7,1732,218,0
M,300.1,309.2,39.8,1418,221,0
L,300.0,309.1,44.5,1401,0,0
L,300.0,309.0,51.7,1454,2,0
M,300.0,309.2,32.4,1635,4,0
L,300.0,309.1,40.3,1489,7,0
L,300.0,309.1,40.6,1465,9,0
M,300.0,309.1,45.7,1463,11,0
H,300.1,309.1,35.4,1560,14,0
M,300.1,309.2,44.4,1454,19,0
L,300.2,309.1,47.0,1479,22,0
L,300.2,309.2,43.4,1430,24,0
M,300.1,309.1,38.0,1533,26,0
L,300.1,309.0,54.8,1404,29,0
M,300.1,308.9,38.4,1548,31,0
M,300.1,309.0,33.0,1612,34,0
M,300.2,309.0,31.2,1642,37,0
M,300.2,309.1,42.2,1406,40,0
L,300.3,309.2,31.4,1587,43,0
M,300.3,309.2,47.6,1364,45,0
L,300.3,309.2,51.4,1462,48,0
L,300.3,309.2,32.4,1649,50,0
L,300.4,309.2,29.0,1752,52,0
H,300.4,309.3,51.2,1396,54,0
M,300.5,309.4,16.3,2179,59,0
L,300.5,309.5,27.6,1653,62,0
L,300.6,309.5,21.4,2025,64,0
L,300.6,309.6,53.6,1426,66,0
M,300.6,309.6,38.4,1503,68,0
M,300.7,309.6,36.5,1525,71,0
L,300.6,309.6,49.1,1423,74,0
M,300.7,309.7,44.7,1435,76,0
H,300.6,309.5,36.5,1495,79,0
M,300.6,309.5,33.8,1557,84,0
L,300.6,309.4,40.7,1474,87,0
L,300.5,309.3,46.0,1465,89,0
M,300.5,309.3,34.9,1589,91,0
L,300.5,309.3,46.8,1475,94,0
L,300.6,309.4,43.2,1442,96,0
L,300.6,309.4,36.0,1556,98,0
L,300.7,309.3,45.3,1425,100,0
L,300.7,309.3,38.3,1580,102,0
H,300.8,309.4,40.7,1474,104,0
L,300.8,309.4,38.4,1489,109,0
L,300.8,309.4,20.5,1946,111,0
M,300.8,309.4,62.4,1342,113,1
M,300.9,309.5,26.8,1758,116,0
M,300.9,309.4,25.6,1724,119,0
L,301.0,309.5,48.5,1430,122,0
L,300.9,309.5,35.2,1612,124,0
H,300.9,309.5,43.4,1469,126,0
L,300.9,309.6,42.4,1384,131,0
L,301.0,309.6,28.1,1724,133,0
M,301.0,309.6,48.0,1397,135,0
M,301.0,309.6,32.7,1588,138,0
L,301.0,309.7,42.0,1468,141,0
M,301.0,309.8,31.1,1594,143,0
M,301.0,309.7,39.3,1511,146,0
L,301.1,309.8,38.9,1493,149,0
H,301.2,309.8,27.0,1709,151,0
L,301.1,309.6,36.1,1501,156,0
L,301.1,309.7,30.8,1668,158,0
L,301.1,309.6,48.9,1502,160,0
M,301.0,309.7,58.4,1288,162,0
L,301.0,309.7,42.9,1491,165,0
L,301.1,309.8,39.6,1519,167,0
L,301.2,309.9,19.7,1984,169,0
L,301.2,309.9,32.9,1643,171,0
M,301.2,310.0,31.6,1625,173,0
M,301.3,310.0,17.8,2068,176,0
H,301.3,310.1,39.7,1469,179,0
L,301.3,310.1,36.3,1558,184,0
L,301.3,310.0,54.8,1344,186,0
H,301.3,310.1,44.1,1455,188,0
L,301.3,310.1,53.6,1355,193,0
L,301.3,310.1,56.8,1269,195,1
L,301.3,310.0,41.5,1550,197,0
M,301.3,310.1,37.8,1525,199,0
M,301.3,310.0,32.4,1696,202,0
L,301.4,310.1,21.8,1937,205,0
M,301.4,310.0,32.1,1689,207,0
M,301.3,310.0,30.8,1593,210,0
M,301.3,309.9,36.0,1565,213,0
L,301.3,310.0,31.4,1665,0,0
H,301.3,310.0,36.3,1532,2,0
L,301.3,310.0,40.9,1438,7,0
L,301.3,310.1,41.6,1531,9,0
L,301.3,310.0,40.8,1506,11,0
L,301.2,309.9,52.4,1382,13,0
M,301.2,309.9,50.8,1456,15,0
M,301.2,310.0,45.6,1445,18,0
L,301.2,309.9,40.9,1515,21,0
L,301.2,309.9,45.5,1449,23,0
H,301.2,309.9,50.7,1362,25,0
L,301.2,309.9,29.7,1687,30,0
L,301.2,310.0,37.6,1618,32,0
M,301.2,310.1,32.6,1558,34,0
L,301.3,310.1,31.0,1662,37,0
M,301.2,310.1,56.6,1295,39,0
L,301.2,310.2,42.3,1385,42,0
M,301.2,310.1,45.5,1479,44,0
L,301.3,310.3,44.3,1400,47,0
M,301.2,310.3,54.5,1357,49,0
L,301.1,310.2,34.1,1657,52,0
L,301.1,310.2,43.4,1496,54,0
M,301.2,310.3,43.2,1379,56,0
L,301.2,310.3,38.6,1548,59,0
L,301.2,310.3,38.1,1499,61,0
L,301.3,310.5,45.8,1390,63,0
H,301.3,310.4,38.4,1538,65,0
L,301.3,310.5,47.7,1365,70,0
L,301.3,310.5,48.6,1503,72,0
L,301.2,310.4,49.9,1390,74,0
L,301.2,310.3,45.7,1497,76,0
M,301.3,310.4,48.3,1577,78,0
L,301.4,310.5,54.3,1432,81,0
M,301.4,310.5,39.9,1563,83,0
L,301.4,310.4,43.4,1433,86,0
L,301.3,310.4,50.1,1384,88,0
L,301.3,310.4,46.7,1346,90,0
L,301.3,310.4,44.7,1459,92,0
L,301.4,310.4,28.9,1639,94,0
L,301.4,310.4,31.9,1737,96,0
L,301.4,310.5,43.5,1489,98,0
M,301.5,310.6,43.0,1492,100,0
M,301.4,310.5,60.6,1217,103,0
L,301.5,310.5,28.7,1636,106,0
L,301.4,310.4,49.7,1436,108,0
L,301.4,310.4,30.6,1689,110,0
L,301.5,310.5,16.4,2289,112,0
L,301.5,310.6,41.0,1522,114,0
L,301.5,310.5,52.9,1351,116,0
L,301.5,310.5,36.7,1589,118,0
L,301.5,310.6,34.1,1578,120,0
L,301.5,310.6,33.7,1587,122,0
L,301.5,310.6,20.2,1962,124,0
M,301.5,310.6,14.2,2432,126,0
L,301.6,310.6,43.9,1418,129,0
L,301.6,310.7,29.7,1683,131,0
L,301.7,310.8,50.7,1385,133,0
L,301.7,310.8,44.5,1559,135,0
M,301.7,310.8,31.6,1671,137,0
M,301.6,310.8,49.5,1343,140,0
M,301.6,310.8,34.2,1548,143,0
L,301.7,310.9,31.2,1705,146,0
L,301.6,310.8,35.4,1535,148,0
L,301.6,310.8,34.1,1564,150,0
M,301.6,310.9,40.9,1510,152,0
L,301.6,310.9,45.2,1492,155,0
M,301.5,310.8,44.1,1452,157,0
H,301.4,310.7,52.0,1329,160,0
L,301.5,310.8,52.4,1382,165,0
M,301.5,310.8,36.4,1628,167,0
L,301.4,310.7,27.9,1706,170,0
L,301.3,310.7,34.1,1594,172,0
L,301.3,310.7,24.3,1761,174,0
L,301.3,310.6,41.8,1529,176,0
M,301.3,310.7,40.7,1532,178,0
L,301.4,310.7,27.8,1673,181,0
L,301.4,310.8,62.6,1285,183,1
L,301.4,310.8,31.4,1680,185,0
L,301.4,310.8,34.6,1610,187,0
L,301.6,310.9,31.6,1632,189,0
L,301.6,310.9,40.2,1559,191,0
L,301.5,310.8,49.0,1367,193,0
L,301.6,310.8,57.8,1355,195,1
H,301.6,310.7,51.7,1414,197,0
L,301.5,310.6,36.6,1522,202,0
L,301.5,310.6,41.9,1525,204,0
L,301.5,310.6,46.5,1394,206,0
L,301.5,310.6,40.7,1519,208,0
L,301.4,310.6,43.9,1445,210,0
L,301.4,310.6,43.3,1555,212,0
L,301.4,310.5,39.5,1633,0,0
M,301.4,310.6,30.3,1630,2,0
M,301.4,310.7,32.3,1692,5,0
H,301.5,310.7,26.2,1790,8,0
L,301.5,310.8,58.5,1350,13,0
L,301.5,310.9,8.0,2760,15,1
L,301.4,310.7,32.2,1584,17,0
L,301.4,310.7,21.8,1989,19,0
L,301.4,310.8,44.3,1431,21,0
L,301.4,310.7,35.2,1568,23,0
L,301.4,310.7,50.6,1376,25,0
M,301.4,310.6,46.9,1459,27,0
M,301.5,310.8,47.5,1385,30,0
H,301.5,310.8,29.6,1591,33,0
L,301.5,310.7,33.1,1568,38,0
M,301.4,310.7,37.7,1459,40,0
L,301.4,310.7,36.3,1590,43,0
L,301.3,310.6,47.6,1376,45,0
L,301.3,310.6,38.5,1510,47,0
H,301.4,310.6,33.6,1674,49,0
L,301.3,310.6,40.7,1426,54,0
L,301.5,310.7,43.6,1466,56,0
H,301.5,310.8,38.7,1474,58,0
M,301.6,310.8,65.3,1290,63,0
M,301.7,310.9,48.0,1435,66,0
M,301.5,310.7,53.2,1416,69,0
H,301.5,310.7,40.4,1599,72,0
L,301.5,310.7,47.3,1466,77,0
L,301.5,310.7,47.3,1408,79,0
L,301.5,310.6,48.1,1490,81,0
L,301.5,310.6,42.3,1405,83,0
L,301.4,310.5,33.3,1647,85,0
M,301.4,310.6,35.0,1459,87,0
L,301.4,310.6,30.7,1648,90,0
L,301.4,310.7,30.7,1675,92,0
L,301.4,310.7,34.2,1605,94,0
H,301.4,310.7,44.4,1536,96,0
M,301.4,310.7,34.3,1617,101,0
L,301.4,310.6,53.3,1347,104,0
L,301.3,310.5,52.7,1337,106,0
L,301.3,310.4,30.9,1695,108,0
M,301.3,310.4,32.5,1635,110,0
L,301.2,310.4,44.0,1470,113,0
L,301.2,310.4,49.8,1381,115,0
M,301.2,310.4,41.6,1382,117,0
M,301.2,310.4,30.0,1697,120,0
L,301.2,310.3,39.7,1451,123,0
L,301.3,310.3,55.7,1419,125,0
L,301.3,310.3,55.6,1313,127,0
L,301.3,310.3,36.3,1560,129,0
